tenantId,vehicle_count,vehicleIds
6329cdf541c5047250e3d821,22,"684281638f3bb2e3d5d38572, 6881daa5c77eecae8d7f4bb7, 68b80b4f4f65cd554d7502b0, 68f87df90c2bdff8805b85ba, 6849511cf38dc2543d247f0e, 68b9498d4f65cd554d752169, 686409cd2aaca768277b33af, 68dcd47349628e5d50e7d9a0, 68d2f042d6b02ee55f482561, 68e26528d82ec9e365047fa1, 68f5dc954dfbac9bd9919e56, 68f73725049c2b25917c4662, 685cd24194c5eb5cef409b75, 68d6755c66ca541d1de9440a, 68c156654f65cd554d756f43, 68c016e44f65cd554d7565c1, 68dd22165c02e69671aab4cd, 68f8765a0c2bdff8805b7477, 68be607a4f65cd554d755f0c, 68f73c5e049c2b25917c4c48, 68dd20285c02e69671aab346, 686b6385a2a58a0379e78662"
683d750e399a79a1753b7886,25,"68e8a2707eef911ea970d167, 68df998bc5d1f6311e833812, 68f0e950f1aa40d977b75362, 68e3bc1df0da71ba232941c0, 68ee6060fec629007c4a43ac, 68df7734c5d1f6311e83258a, 68f8770a0c2bdff8805b76cd, 68df8728c5d1f6311e8331c3, 68eca5a49e43e80e1116a118, 68de31bb02b2975ddae28c04, 68e8a0b6ba833e33b532f374, 68f0f5ee3859f1be91e59f29, 68f0fe403859f1be91e5cda8, 68e3bd34f0da71ba23294320, 68e36b5316639e8a78f3ab2d, 684138f351f3d330ba335198, 687927b674cd6f45830642d6, 68db633949628e5d50e7b06a, 68df739ec5d1f6311e832135, 68de33a902b2975ddae28d48, 68df6917c5d1f6311e831779, 68db80b049628e5d50e7b5fa, 68db7dd049628e5d50e7b5cf, 68e3bfa0f0da71ba23294769, 68e8a3547eef911ea970d32b"
683e89ee399a79a1753b85b5,1,68496aaef38dc2543d248078
68826aa1d152b9ab2f41b674,2,"688ae0ae6e8600cbe1a878a2, 688ac3ca6e8600cbe1a876ae"
68a90f46e73919af2fccdd77,9,"68b89e444f65cd554d751336, 68b774504f65cd554d74f57e, 68b89f2b4f65cd554d751362, 68b89e7b4f65cd554d751342, 68b8ca1f4f65cd554d7515ae, 68b89eb74f65cd554d75134e, 692dffa1da73be8e07e49fb0, 68b8c8d84f65cd554d751559, 68b8ca494f65cd554d7515b7"
68c2a459bc89e445bb70ef89,4,"68c2b89fbc89e445bb70f304, 68c2b9fbbc89e445bb70f37b, 68c2b9dabc89e445bb70f36c, 68c2b8e4bc89e445bb70f32d"
68c89234bc89e445bb7114f5,1,68cf2d8725b5590dd4e8a61a
68c893d8bc89e445bb711533,3,"68cf0f5525b5590dd4e8a2ed, 68cf155c25b5590dd4e8a479, 6949d8eba2c836c23930a649"
68ccb0ebc280d8be9b0f5c4a,77,"68e4dc3bb56bc4691e8be372, 68e137e9ff82187deafb7161, 68e4dc3bb56bc4691e8be3b6, 68e4dc3bb56bc4691e8be3b9, 68e4dc3bb56bc4691e8be3d5, 68e436aa57f2617baafbb3bd, 68e4dc3bb56bc4691e8be369, 68e4dc3bb56bc4691e8be38b, 68e4dc3bb56bc4691e8be37f, 68e4dc3bb56bc4691e8be378, 68e4dc3bb56bc4691e8be3c1, 68e4dc3bb56bc4691e8be3e4, 68e4dc3bb56bc4691e8be3f0, 68e4dc3bb56bc4691e8be375, 68e4dc3bb56bc4691e8be401, 68e4dc3bb56bc4691e8be3a4, 68cd89fec280d8be9b0f77f0, 68e4dc3cb56bc4691e8be418, 68e4dc3bb56bc4691e8be406, 692f49c0f2e39d7495d0ac53, 68e4dc3cb56bc4691e8be423, 68e4dc3bb56bc4691e8be3ad, 68e4dc3bb56bc4691e8be3ed, 68e4dc3bb56bc4691e8be396, 68e4dc3bb56bc4691e8be39c, 68e4dc3bb56bc4691e8be3d2, 68e4dc3cb56bc4691e8be420, 68e4dc3bb56bc4691e8be36c, 68e43cc1032bd16c87d4b6d8, 68e4dc3bb56bc4691e8be3cb, 68e4dc3bb56bc4691e8be3ce, 68e4dc3bb56bc4691e8be38e, 68e4dc3bb56bc4691e8be3e7, 68e4dc3bb56bc4691e8be3b0, 68e0a002ff82187deafb5939, 68e4dc3bb56bc4691e8be37b, 68e4dc3bb56bc4691e8be3aa, 68e02d16ff82187deafb3051, 68e4dc3bb56bc4691e8be3db, 68e4dc3bb56bc4691e8be3bc, 68e4dc3cb56bc4691e8be41d, 68e4dc3bb56bc4691e8be412, 68e4dc3bb56bc4691e8be3e1, 68e4dc3bb56bc4691e8be415, 68e138beff82187deafb7211, 68cd88f1c280d8be9b0f7721, 68e4dc3bb56bc4691e8be3c4, 68e43a8257f2617baafbb52c, 68e4dc3bb56bc4691e8be40e, 68e4dc3bb56bc4691e8be3f8, 68e4dc3bb56bc4691e8be3ea, 68e4dc3bb56bc4691e8be385, 68e4dc3bb56bc4691e8be3fb, 68e4dc3cb56bc4691e8be429, 68e4dc3bb56bc4691e8be3a7, 68e4dc3bb56bc4691e8be399, 68e4dc3bb56bc4691e8be388, 68e4dc3bb56bc4691e8be39f, 68e4dc3bb56bc4691e8be36f, 68e080e8ff82187deafb4885, 68e1385eff82187deafb716e, 68e4dc3bb56bc4691e8be3de, 68e4dc3bb56bc4691e8be382, 68e4dc3bb56bc4691e8be3d8, 68e4dc3bb56bc4691e8be3c8, 68e448df032bd16c87d4bcab, 68e4dc3bb56bc4691e8be366, 68e4dc3bb56bc4691e8be393, 68e44200032bd16c87d4b96f, 68e4dc3bb56bc4691e8be3b3, 68e4dc3bb56bc4691e8be3fe, 68e4dc3bb56bc4691e8be409, 68e4dc3cb56bc4691e8be42c, 695d407ddb426e5560e68f53, 69718b7c43fea929ac4a15f0, 68e4dc3cb56bc4691e8be426, 6972610443fea929ac507b18"
68d23cb8bf9e173400c0eaa0,2,"6920ffc9ab229aba406276fb, 6924a1abc589050f89f7eb89"
68d729dc7c1a4da29812e5d1,2,"68dd5aff5c02e69671aae48b, 68dd5a7d5c02e69671aae450"
68dac9257c1a4da298133a56,15,"68ed34090bbd503266ed767d, 68f046b0977d71adeb3e4281, 68f2727d467c81e5145e8f87, 68fa4607e9b9c0b413e6fa14, 69001b864436433ce03cd236, 68f12cc23859f1be91e63532, 68e6d46fa0f625f980dbf79e, 68f8f4fd91c9f9ee60e64eb0, 68e6ec30616d018686de8e0e, 68f03e78977d71adeb3e4026, 690003fb68b8617e92617246, 69003d4e4436433ce03d0ded, 6904733d7683b0e0c2b5ee35, 68e8298a0f6fd154cbe0023a, 68fa4df4e9b9c0b413e70a21"
68db39b57c1a4da2981344f2,8,"68e98fe9f0e58381ed924171, 68fb9174041bb0c6b6418c6e, 6901093da1d53ab328b933b6, 68fa263f991551a55ace0dd0, 68ec7a33c5c17cac4324ff73, 68f9615e39f61d248dc69a56, 68fbc27974a52c9d2069869f, 68f2d9f3ef2248c0d4c90c28"
68db3a937c1a4da29813451c,2,"68faf1a1041bb0c6b640a1a6, 68f926b839f61d248dc5f90e"
68e84a50c3b472a17187662b,48,"68f2bc4e06e5f22a1c963d06, 690112aca1d53ab328b94a57, 68f5169a559f9c05174b3f96, 692478e2c589050f89f7b9a1, 6924ea3dc589050f89f89a5a, 6932072a7d5570b1c516a0da, 693b09c8059cb683c6f630f2, 693f22cc44007d6482f87a17, 693efbb444007d6482f82b0f, 6901134fa1d53ab328b94cb7, 693892710a0d6930830ff41e, 691d3ebe0149615aa0b06123, 6900f827a1d53ab328b90e2a, 6941aa700135f17439a36cf0, 69372f00257f5e77234bf2bb, 69176cfdfb2778a8b44a9760, 693367aba2880433270e05f8, 6938a6460a0d69308310507d, 693c91a1574d2da684657a06, 69419cb00135f17439a33dfa, 694c40f25997d2406f245239, 694da302e6d349228b02e136, 694f18b4e6d349228b071282, 693b2938059cb683c6f69aac, 68fc245be2fc73079c4fe19e, 6945a1faa2c836c23925c046, 695418f4e6d349228b12af32, 69543412e6d349228b13105c, 6955f305e6d349228b171bf6, 692f225cf2e39d7495d04f8c, 69581c14db426e5560d617bd, 695a968cdb426e5560dd8674, 694f1b1ee6d349228b071b17, 69408af344007d6482fb0bc8, 695d70954e276c9011bc1b27, 695d5d924e276c9011bba273, 696005984d8df6c45f6429da, 6962db2808a88a451a1c7859, 696542d808a88a451a2691ac, 6966a3ed08a88a451a2f223e, 695d937823b46a4c692226b4, 696ead1c43fea929ac3d94a4, 696fe1b343fea929ac422273, 697013e243fea929ac42e140, 6972833f43fea929ac51110d, 6976994a43fea929ac620ec9, 697903e18628dcd7201aeb52, 697966f58628dcd7201ccf2e"
68ea0bc50f3c4850a85b9378,1,68eb1e6bbe34328bb272625d
68fac210041bb0c6b6407303,1,68ffb8977acdc63b14238834
6903e918b0c317e4d46fe9a8,9,"691b4cdddf10f289f20a0c02, 691b6871df10f289f20a3324, 691b680fdf10f289f20a325e, 692b6c9290dfd949308f7ebd, 692b6c6c90dfd949308f7e6d, 692bd8e8263106981310a754, 692fada81c08b905d8f88aee, 692fae111c08b905d8f88c97, 692fae311c08b905d8f88cad"
6915b588270988466dacf054,3,"69167ac56b68a4f5d8c44ad6, 69167b956b68a4f5d8c44b76, 691679516b68a4f5d8c4498d"
69279e611093621e73c1f9fd,1,694ef1f3e6d349228b0699d1
692e1924da73be8e07e4cbc5,16,"68d72f967c1a4da29812e783, 68cf2cad25b5590dd4e8a5e6, 68cf2e4e25b5590dd4e8a645, 68e972a81b40d1bf35de2cb8, 68ed83cea28ec7c70ececc9b, 68c89780bc89e445bb711700, 68e088d3ff82187deafb4cab, 68e5a8493f8362eededf484e, 68d5e14e234c6e1b7c68e785, 68d3117ed6a2d9507030ced9, 68cf2df725b5590dd4e8a62b, 68cf359d25b5590dd4e8a795, 68fc1b50e2fc73079c4fd154, 68cf2d3725b5590dd4e8a609, 68e957553fdadf02133db220, 6970348343fea929ac435c63"
6941e1e10135f17439a436ef,1,6941e52c0135f17439a440fe
6941f7960135f17439a49539,2,"691a66a3df10f289f2097111, 696c254cba1dbcd3899b98bf"
694e93cae6d349228b059069,1,694ef585e6d349228b06a76a
696a9c44ba1dbcd389846cbc,2,"696aa596ba1dbcd389850bdc, 6972906f43fea929ac5153a1"
697927d38628dcd7201bc295,2,"697950cf8628dcd7201c6722, 697a7db98628dcd7202112b8"
